city,lat,lon,killed_injured
Chicago,41.68,-87.62,879
Las Vegas,36.15,-115.24,546
Philadelphia,40.03,-75.17,358
Houston,29.68,-95.52,202
Baltimore,39.31,-76.58,196
Washington,38.96,-77.02,184
New Orleans,29.96,-90.07,168
Saint Louis,38.66,-90.23,165
Brooklyn,40.67,-73.91,154
Memphis,35.09,-89.98,151
