Incident ID,Incident Date,State,City Or County,Address,killed,injured,Operations,lat,lon,killed_injured
1374920,13-Apr-19,California,Moreno Valley,23500 block of Alessandro Blvd,0,4,N/A,33.92,-117.25,4
1370269,12-Apr-19,Illinois,Carbondale,119 N Washington St,0,4,N/A,37.73,-89.22,4
1368597,11-Apr-19,Maryland,Baltimore,2200 block of Ruskin Ave,1,3,N/A,39.32,-76.65,4
1369109,11-Apr-19,California,Los Angeles,E 103rd St and S Main St,1,4,N/A,33.94,-118.27,5
1369148,11-Apr-19,Arizona,Phoenix,7112 W Minnezona Ave,3,2,N/A,33.5,-112.21,5
1367011,9-Apr-19,Missouri,Kansas City,5339 Michigan Ave,1,3,N/A,39.03,-94.56,4
1365052,7-Apr-19,North Carolina,Winston Salem (Winston-salem),515 N Cherry St,0,7,N/A,36.1,-80.25,7
1365077,7-Apr-19,Indiana,Indianapolis,3600 block of Roosevelt Ave,2,2,N/A,39.8,-86.11,4
1365173,7-Apr-19,Delaware,Wilmington,940 N Pine St,0,6,N/A,39.74,-75.54,6
1365100,7-Apr-19,Louisiana,Shreveport,433 Flournoy Lucas Rd,0,4,N/A,32.39,-93.77,4
1364443,6-Apr-19,Florida,Tallahassee,500 block of Kissimmee St,0,4,N/A,30.42,-84.29,4
1364540,6-Apr-19,Illinois,Chicago,6300 block of S Seeley Ave,0,6,N/A,41.78,-87.68,6
1363737,4-Apr-19,Florida,Panama City,100 block of Allen Ave,1,3,N/A,30.15,-85.65,4
1362715,4-Apr-19,Georgia,Stockbridge,300 block of Eagle Ct,3,2,N/A,33.53,-84.24,5
1362364,2-Apr-19,Mississippi,Hermanville,13195 MS 18,0,4,N/A,31.96,-90.84,4
1362182,2-Apr-19,Kentucky,Covington,337 E 13th St,0,5,N/A,39.08,-84.5,5
1360333,31-Mar-19,Georgia,Atlanta,3041 Landrum Dr SW,1,4,N/A,33.71,-84.49,5
1359599,31-Mar-19,South Carolina,North Charleston,1900 block of Jacksonville Rd,0,7,N/A,32.85,-79.96,7
1359455,31-Mar-19,Illinois,Chicago,500 block of N Hamlin Ave,1,4,N/A,41.89,-87.72,5
1357591,28-Mar-19,Maryland,Baltimore,6200 block of Boston St,0,4,N/A,39.28,-76.54,4
1355275,25-Mar-19,Nevada,North Las Vegas,2400 block of W San Miguel St,0,5,N/A,36.24,-115.18,5
1353714,24-Mar-19,California,San Francisco,1300 Fillmore St,1,5,N/A,37.78,-122.43,6
1354049,24-Mar-19,Arizona,Phoenix,2202 W McDowell Rd,0,7,N/A,33.47,-112.11,7
1350494,19-Mar-19,Arizona,Phoenix,8526 N 27th Ave,2,4,N/A,33.56,-112.12,6
1348844,17-Mar-19,Georgia,Augusta,900 block of Broad St,0,4,N/A,33.48,-81.97,4
1349256,17-Mar-19,Georgia,Rochelle,Dennis St,1,3,N/A,31.95,-83.47,4
1348793,17-Mar-19,Nevada,Las Vegas,600 E Fremont St,0,4,N/A,36.17,-115.14,4
1347974,16-Mar-19,New Jersey,Camden,619 Ferry Ave,1,3,N/A,39.92,-75.12,4
1348291,15-Mar-19,Alabama,Mobile,515 Dauphin Island Pkwy,2,4,N/A,30.67,-88.09,6
1347894,14-Mar-19,Montana,Missoula,5145 Airway Blvd,1,3,N/A,46.92,-114.07,4
1344488,11-Mar-19,New Jersey,Paterson,291 12th Ave,0,4,N/A,40.92,-74.15,4
1343330,10-Mar-19,Louisiana,Shreveport,2700 block of San Jacinto Ave,0,4,N/A,32.49,-93.79,4
1343274,10-Mar-19,Colorado,Denver,15th St and Market St,1,4,N/A,39.75,-105,5
1338860,3-Mar-19,California,Oakland,316 14th St,0,4,N/A,37.8,-122.27,4
1338765,3-Mar-19,Illinois,Chicago,2900 block of E 79th St,0,6,N/A,41.75,-87.55,6
1338790,2-Mar-19,Arkansas,Pine Bluff,723 East 25th Ave,1,4,N/A,34.2,-91.99,5
1337498,28-Feb-19,California,Oakland,9755 Edes Ave,1,3,N/A,37.74,-122.18,4
1333480,22-Feb-19,Alabama,Birmingham,1100 block of Carnation Dr,2,2,N/A,33.61,-86.7,4
1331974,21-Feb-19,Maryland,Baltimore,500 block of Bloom St,1,4,N/A,39.31,-76.64,5
1332507,21-Feb-19,Kentucky,Elizabethtown,600 N Miles St,2,2,N/A,37.7,-85.86,4
1332429,21-Feb-19,Texas,Houston,12800 block of Eastbrook Dr,2,2,N/A,29.79,-95.21,4
1332181,20-Feb-19,Tennessee,Covington,529 N College St,0,4,N/A,35.57,-89.65,4
1329144,17-Feb-19,Texas,Henderson,504 S Van Buren St,2,2,N/A,32.15,-94.8,4
1328792,17-Feb-19,Indiana,Evansville,664 E Illinois St,0,5,N/A,37.98,-87.55,5
1329075,17-Feb-19,Louisiana,New Orleans,Tulane Ave and Elk Pl,1,5,N/A,29.95,-90.07,6
1328562,16-Feb-19,Mississippi,Clinton,1214 Foxhill Dr,5,0,N/A,32.35,-90.32,5
